Education Level,Job Title,Years of Experience,Salary
Bachelor,Junior Developer,1,40000
Master,Software Engineer Manager,13,170000
PhD,Data Scientist,19,190000
PhD,Data Scientist,9,145000
Bachelor,Front End Developer,4,80000
Bachelor,Human Resources Manager,6,75000
Master,Senior Software Developer,8,105000
PhD,Sales Director,10,155000
Bachelor,Financial Manager,4,55000
High School,Juniour HR Coordinator,1,32000
Master,Project Manager,14,130000
Bachelor,Product Manager,7,120000
Master,Human Resources Manager,8,92000
Master,Back end Developer,2,70000
Master,Product Manager,14,180000
Bachelor,Junior Marketing Manager,3,55000
Master,Full Stack Engineer,14,163978
Master,Human Resources Manager,12,130000
Bachelor,Data Analyst,11,160000
Bachelor,Software Engineer,3,125000
Bachelor,Digital Marketing Manager,6,95000
Bachelor,Product Manager,2,65000
Bachelor,Software Engineer,4,140000
Bachelor,Sales Director,6,75000
Bachelor,Junior HR Generalist,2,42000
Bachelor,Back end Developer,3,80000
Master,Web Developer,7,85000
Bachelor,Financial Manager,16,215000
Bachelor,Financial Manager,12,120000
Bachelor,Junior Web Developer,2,45000
Master,Data Scientist,6,180000
Bachelor,Software Developer,3,60000
Bachelor,Marketing Coordinator,3,55000
PhD,Software Engineer Manager,12,175000
Master,Human Resources Coordinator,3,49000
Master,Full Stack Engineer,4,110000
Bachelor,Software Developer,3,60000
Bachelor,Operations Manager,7,91000
Master,Software Engineer Manager,12,160000
PhD,Software Engineer Manager,27,190596
PhD,Senior Project Engineer,12,165000
High School,Sales Representative,3,50000
Bachelor,Director of Marketing,8,80000
Bachelor,Operations Manager,5,70000
PhD,Senior Project Engineer,16,190000
Bachelor,Junior Marketing Manager,5,70000
PhD,Senior Project Engineer,16,190000
Bachelor,Software Engineer,4,160000
PhD,Director of Marketing,12,170000
Bachelor,Product Designer,3,60000
PhD,Research Director,11,160000
Bachelor,Marketing Analyst,4,75000
Bachelor,Data Analyst,5,145000
Master,Front end Developer,5,105000
Bachelor,Financial Manager,12,120000
PhD,Senior Project Engineer,17,195000
PhD,Director of Human Resources,23,185000
Bachelor,Human Resources Coordinator,4,60000
Bachelor,Data Analyst,9,195000
Bachelor,Junior Business Development Associate,3,50000
Master,Director of HR,10,105000
Master,Human Resources Manager,13,140000
Bachelor,Data Analyst,2,110000
Master,Front end Developer,2,65840
Bachelor,Junior Sales Representative,6,75000
Bachelor,Full Stack Engineer,4,77606
Bachelor,Junior Business Analyst,4,60000
PhD,Senior Research Scientist,12,140000
Master,Product Manager,11,198000
Bachelor,Full Stack Engineer,6,115000
Master,Human Resources Manager,11,120000
Bachelor,Senior Project Manager,12,120000
PhD,Director of Data Science,18,210000
PhD,Senior Research Scientist,11,135000
Master,Software Engineer,2,60000
Master,Human Resources Coordinator,3,50000
Bachelor,Junior Software Developer,1,35000
Master,Full Stack Engineer,6,115000
Bachelor,Software Engineer,3,80000
Master,Director of HR,14,140000
Master,Data Scientist,6,180000
Bachelor,Human Resources Coordinator,4,55000
Bachelor,Junior Data Analyst,3,52000
Master,Back end Developer,2,75000
Bachelor,Digital Marketing Manager,6,95000
Bachelor,Product Manager,1,60000
Master,Junior HR Generalist,1,32000
Bachelor,Front end Developer,2,55000
Bachelor,Human Resources Manager,8,95000
Bachelor,Software Engineer,4,140000
PhD,Research Scientist,12,170000
Bachelor,Software Engineer,6,155000
Master,Marketing Manager,7,110000
Bachelor,Content Marketing Manager,13,130000
PhD,Marketing Manager,4,55000
Bachelor,Product Manager,1,60000
Master,Director of Finance,20,170000
Bachelor,Software Engineer,3,125000
Master,Front end Developer,5,105000
PhD,Software Engineer Manager,13,138662
Master,Senior IT Consultant,9,110000
Bachelor,Financial Manager,16,200000
Master,Data Scientist,6,155000
Bachelor,Financial Analyst,1,55000
PhD,Software Engineer Manager,11,165000
Master,Marketing Manager,11,120000
PhD,Data Scientist,9,195000
Bachelor,Data Analyst,2,110000
Master,Full Stack Engineer,6,130000
Master,Product Manager,7,110000
Master,Data Analyst,8,100000
Bachelor,Director of Marketing,8,80000
Bachelor,Back end Developer,3,80000
Bachelor,Data Analyst,1,90000
Bachelor,Junior HR Coordinator,2,40000
High School,Sales Executive,2,40000
PhD,Data Scientist,8,190000
Bachelor,Senior Product Marketing Manager,5,85000
PhD,Chief Data Officer,16,220000
Bachelor,Senior Project Engineer,20,142421
PhD,Data Scientist,23,225000
PhD,Senior Project Engineer,14,190000
Bachelor,Front end Developer,6,110000
Bachelor,Marketing Coordinator,6,55000
Bachelor,Back end Developer,3,80000
Master,Software Engineer,2,60000
High School,Sales Associate,1,30000
PhD,Software Engineer Manager,16,185000
Bachelor,Software Developer,5,80000
Master,Full Stack Engineer,9,132638
Master,Data Analyst,3,65000
PhD,Data Scientist,19,190000
Master,Data Scientist,6,180000
PhD,Director of Marketing,19,190000
Master,Product Manager,14,180000
Master,Product Manager,11,198000
PhD,Director of Marketing,6,105000
Master,Senior Software Engineer,32,195270
Bachelor,Software Engineer Manager,9,104661
Bachelor,Front end Developer,2,70000
PhD,Research Scientist,12,170000
Bachelor,Senior Software Engineer,14,130000
Bachelor,Data Analyst,3,130000
PhD,Director of HR,11,115000
Bachelor,Content Marketing Manager,15,150000
Bachelor,Front end Developer,4,90000
Bachelor,Product Manager,1,60000
PhD,Software Engineer Manager,13,180000
Bachelor,Junior Business Development Associate,1,35000
Bachelor,Marketing Coordinator,3,55000
Bachelor,Junior Web Developer,2,45000
Bachelor,Software Engineer,1,60000
High School,Financial Manager,3,45000
Master,Full Stack Engineer,6,115000
Bachelor,Senior Project Manager,9,120000
High School,Junior Sales Associate,2,35000
High School,Junior Sales Associate,1,26000
Bachelor,Social Media Manager,3,55000
PhD,Data Scientist,18,180000
Master,Product Manager,2,120000
Bachelor,Software Engineer,4,140000
PhD,Marketing Manager,4,55000
Bachelor,Marketing Coordinator,5,95000
Bachelor,Sales Representative,1,35000
Bachelor,Data Analyst,3,130000
Bachelor,Full Stack Engineer,8,145000
Bachelor,Back end Developer,5,100000
Master,Marketing Coordinator,9,100000
Master,Product Manager,14,180000
Master,Product Manager,6,120000
Master,Product Manager,7,110000
Bachelor,Software Engineer,4,140000
Master,Front end Developer,3,73218
Master,Marketing Manager,20,204000
Bachelor,Junior Software Developer,1,35000
Bachelor,Software Engineer,5,165000
High School,Sales Executive,2,40000
Bachelor,Software Developer,3,61000
Master,Junior HR Generalist,1,32000
Bachelor,Software Engineer,5,150000
Bachelor,Software Engineer,8,190000
Bachelor,Product Manager,5,160000
Master,Data Analyst,9,120000
Master,Marketing Manager,10,110000
Bachelor,Product Manager,1,55000
PhD,Software Engineer Manager,15,185000
Master,Web Developer,7,85000
Bachelor,Sales Representative,1,35000
Bachelor,Back end Developer,5,100000
Master,Product Manager,11,198000
Bachelor,Data Analyst,1,90000
Bachelor,Marketing Analyst,3,60000
Bachelor,Front end Developer,1,55000
Bachelor,Front end Developer,2,65000
Bachelor,Front End Developer,4,80000
Master,Senior HR Generalist,10,105000
Bachelor,Software Engineer,5,160000
PhD,Data Scientist,15,150000
PhD,Data Scientist,8,140000
Master,Marketing Manager,9,135000
Bachelor,Junior Software Developer,2,36000
Bachelor,Operations Manager,9,110000
Bachelor,Operations Manager,9,110000
Master,Product Manager,12,190000
Bachelor,Product Manager,1,55000
Master,Web Developer,7,85000
PhD,Research Director,12,170000
PhD,Data Scientist,16,160000
Bachelor,Marketing Coordinator,5,85000
Bachelor,Senior Project Engineer,21,163209
Bachelor,Software Engineer,1,50000
Bachelor,Software Developer,2,60000
Bachelor,Financial Analyst,1,55000
Bachelor,Product Manager,12,190000
PhD,Research Director,11,170000
Master,Full Stack Engineer,19,177347
Bachelor,Software Engineer,8,190000
PhD,Sales Representative,4,55000
Bachelor,Social Media Manager,3,55000
Master,Product Manager,12,196000
PhD,Research Scientist,13,185000
Bachelor,Marketing Coordinator,4,57000
Bachelor,Back end Developer,4,95000
Master,Web Developer,7,85000
Master,Senior Human Resources Manager,4,70000
High School,Junior Sales Associate,1,30000
High School,Senior Project Engineer,25,154207
Bachelor,Senior Software Engineer,7,106218
Bachelor,Human Resources Manager,6,75000
PhD,Senior Product Marketing Manager,17,170000
Bachelor,Software Engineer,8,190000
PhD,Senior Consultant,15,140000
Master,Front end Developer,8,107895
Bachelor,Senior Software Engineer,18,148446
Bachelor,Data Analyst,1,90000
Master,Human Resources Coordinator,3,50000
Bachelor,Junior Software Engineer,2,48000
Bachelor,Junior Business Analyst,4,60000
Bachelor,Data Analyst,1,92000
PhD,Data Scientist,9,145000
Master,Data Scientist,9,140000
High School,Receptionist,0,25000
Master,Marketing Manager,8,120000
Master,VP of Operations,19,190000
Bachelor,Software Engineer,5,90000
Master,Data Scientist,6,180000
Master,Product Manager,11,198000
Bachelor,Software Engineer,5,150000
Bachelor,Digital Marketing Specialist,4,65000
PhD,Software Engineer Manager,14,175000
Master,Senior HR Generalist,8,80000
Bachelor,Product Designer,2,55000
Master,Director of Operations,21,180000
PhD,Senior Project Engineer,14,190000
Bachelor,Front end Developer,1,60000
High School,Full Stack Engineer,2,69032
Master,Product Manager,11,198000
Master,Full Stack Engineer,7,140000
High School,Junior Sales Associate,1,25000
PhD,Senior Project Engineer,13,180000
Master,Senior Data Scientist,8,120000
High School,Junior HR Generalist,1,32000
PhD,Software Engineer Manager,28,188484
Bachelor,Data Analyst,2,100000
PhD,Senior Research Scientist,11,135000
Bachelor,Web Developer,3,60000
High School,Sales Associate,1,30000
High School,Sales Executive,5,70000
Master,Full Stack Engineer,6,115000
Bachelor,Social Media Manager,3,55000
Bachelor,Front end Developer,6,110000
Master,Marketing Director,14,190000
Master,Front end Developer,5,105000
Bachelor,Senior Marketing Manager,12,130000
PhD,Software Engineer Manager,17,195000
PhD,Senior Project Engineer,18,195000
Bachelor,Data Analyst,3,130000
Master,Data Analyst,9,120000
Master,Full Stack Engineer,14,161393
Master,Software Engineer Manager,8,130000
PhD,Data Scientist,14,140000
PhD,Senior Product Marketing Manager,16,160000
Bachelor,Operations Manager,6,75000
Master,Director of HR,12,120000
Bachelor,Front End Developer,4,80000
Bachelor,Junior HR Coordinator,1,35000
PhD,Research Scientist,13,185000
Master,Marketing Director,14,195000
Bachelor,Data Analyst,9,195000
PhD,Senior Research Scientist,13,145000
Master,Senior Software Engineer,28,186963
PhD,Data Scientist,18,180000
Bachelor,Software Engineer,4,71000
PhD,Data Scientist,8,140000
Bachelor,Front end Developer,6,110000
Bachelor,Senior Project Engineer,30,183020
Master,Marketing Director,14,180000
Master,Back end Developer,3,90000
Master,Front end Developer,9,150000
Master,Data Scientist,9,140000
Master,Senior Project Engineer,8,101332
Master,Human Resources Coordinator,3,49000
Master,Senior Software Engineer,9,145000
High School,Receptionist,0,25000
PhD,Data Scientist,8,140000
Master,Human Resources Manager,12,130000
PhD,Director of Marketing,12,170000
Master,Senior Software Engineer,9,150000
Bachelor,Software Engineer,3,80000
Bachelor,Front end Developer,4,90000
Master,Full Stack Engineer,10,152039
Bachelor,Senior Business Development Manager,10,120000
High School,Receptionist,0,25000
Bachelor,Senior Project Engineer,20,162231
Bachelor,Marketing Coordinator,4,65000
Master,Marketing Manager,10,110000
PhD,Data Scientist,7,185000
Bachelor,Back end Developer,10,126520
Master,Front end Developer,1,55000
Bachelor,Web Developer,10,100000
Bachelor,HR Generalist,7,60000
Bachelor,Web Developer,2,50000
Bachelor,Software Engineer,5,160000
Bachelor,Software Engineer,4,65000
PhD,Data Scientist,16,160000
Master,Data Scientist,6,150000
Bachelor,Software Engineer,8,180000
PhD,Research Scientist,10,150000
Master,Back end Developer,2,65000
Bachelor,Front end Developer,1,55000
Bachelor,Software Engineer,6,85000
Master,Senior Software Engineer,19,185000
Bachelor,Operations Manager,13,127000
PhD,Software Engineer Manager,14,180000
High School,Sales Representative,3,40000
High School,Sales Associate,1,35000
Bachelor,Software Engineer,4,160000
Bachelor,Software Developer,2,55000
PhD,Director of Marketing,12,170000
PhD,Software Engineer Manager,17,195000
PhD,Software Engineer Manager,14,180000
Bachelor,Operations Manager,6,75000
Master,Senior Project Engineer,11,170000
Bachelor,Full Stack Engineer,7,130000
High School,Junior Sales Associate,1,30000
PhD,Research Director,12,170000
PhD,Director of Data Science,16,200000
Master,Full Stack Engineer,6,115000
Bachelor,Data Analyst,9,195000
High School,Sales Associate,1,30000
Bachelor,Junior Software Developer,2,35000
Master,Human Resources Manager,14,146000
PhD,Senior Manager,15,150000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Software Engineer,4,140000
Master,Product Manager,14,180000
Master,Senior Software Engineer,21,185119
Master,Back end Developer,8,140000
PhD,Software Engineer Manager,15,185000
PhD,Senior Project Engineer,14,190000
Bachelor,Sales Director,6,75000
Bachelor,Front End Developer,4,80000
Bachelor,Data Analyst,9,195000
Master,VP of Finance,19,200000
Bachelor,Front end Developer,2,65000
High School,Junior Sales Associate,2,35000
Master,Senior Project Engineer,10,112439
PhD,Software Engineer Manager,29,194778
Bachelor,Software Engineer,8,190000
Bachelor,Product Manager,7,120000
Bachelor,Data Analyst,2,115000
High School,Junior Sales Associate,1,26000
Bachelor,Senior HR Generalist,8,95000
PhD,Software Engineer Manager,13,180000
Master,Senior Human Resources Manager,6,80000
Bachelor,Data Analyst,3,130000
Master,Senior Software Engineer,8,105000
Bachelor,Full Stack Engineer,6,115000
Master,Software Developer,3,75000
High School,Junior HR Generalist,2,35000
Master,Senior Project Engineer,11,170000
Bachelor,Data Analyst,9,195000
PhD,Data Scientist,5,100000
Bachelor,Junior Software Engineer,1,55000
PhD,Data Scientist,22,220000
Master,Software Engineer Manager,13,170000
Bachelor,Software Engineer,3,80000
High School,Sales Associate,3,50000
PhD,Senior Project Engineer,19,200000
PhD,Data Scientist,7,170000
PhD,Data Scientist,22,219000
PhD,Software Engineer Manager,12,141735
Master,Product Manager,11,198000
Bachelor,Software Engineer,3,125000
Bachelor,Human Resources Coordinator,2,45000
Bachelor,Senior Business Analyst,8,90000
PhD,Senior Project Engineer,14,190000
PhD,Research Director,11,170000
Bachelor,Software Engineer,5,150000
PhD,Director of HR,13,135000
PhD,Senior Project Engineer,14,190000
Bachelor,Software Engineer,3,60000
PhD,Software Engineer Manager,27,180958
Bachelor,Junior Software Developer,2,37000
Master,Marketing Manager,6,77000
Master,Marketing Director,11,160000
Bachelor,Marketing Manager,7,110000
Bachelor,Software Engineer,4,71000
Bachelor,Back end Developer,4,82683
PhD,Senior Software Engineer,13,185000
PhD,Senior Project Engineer,19,200000
High School,Junior HR Coordinator,2,33000
Master,Director of Marketing,20,180000
Master,Senior Data Scientist,9,125000
Bachelor,Financial Manager,4,55000
Bachelor,Senior Operations Manager,8,95000
Master,Digital Marketing Manager,14,140000
Bachelor,Web Developer,4,65000
Bachelor,Front end Developer,2,65000
High School,Receptionist,0,25000
Master,Marketing Manager,14,170000
Master,Product Manager,11,196000
Master,Marketing Coordinator,8,85000
Bachelor,Marketing Manager,9,130000
Master,Back end Developer,9,150000
High School,Receptionist,0,25000
Bachelor,Software Engineer,4,71000
Bachelor,Back end Developer,19,120177
PhD,Data Scientist,9,195000
Master,Product Manager,7,110000
Bachelor,Data Analyst,3,130000
PhD,Senior Product Designer,15,150000
Master,Director of HR,5,80000
Bachelor,Data Analyst,2,90000
Bachelor,Sales Director,7,90000
Master,Marketing Manager,10,110000
Bachelor,Software Engineer,5,90000
Bachelor,Data Analyst,2,110000
High School,Junior HR Generalist,1,32000
Bachelor,Junior Software Developer,1,35000
Bachelor,Customer Success Rep,1,40000
Bachelor,Software Developer,3,61000
Bachelor,Software Developer,6,85000
Bachelor,Back end Developer,1,55935
Bachelor,Sales Manager,5,70000
Bachelor,Front End Developer,2,50000
